Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|00 00 50.2|+66 00 07|   2.94253e-09|         6.09273e-10|           |
|00 00 56.7|-07 45 48|   9.59190e-10|         0.00000e+00|bzb        |
|00 01 55.8|-41 58 54|   5.26257e-10|         2.34184e-10|           |
|00 03 11.6|+62 27 32|   2.14283e-09|         5.12066e-10|           |
|00 04 19.4|+22 07 24|   6.04841e-10|         2.08437e-10|           |
|00 04 44.8|-47 37 29|   8.41208e-10|         2.66037e-10|bzq        |
|00 05 07.9|+68 29 18|   1.39413e-09|         5.06733e-10|           |
|00 05 44.7|+38 15 34|   6.24795e-10|         2.92986e-10|bzq        |
|00 06 59.1|+46 52 54|   1.11770e-09|         3.03762e-10|           |
|00 07 01.6|+73 03 08|   6.34345e-08|         1.49382e-09|PSR        |
|00 08 20.3|+14 52 54|   7.72908e-10|         2.33757e-10|           |
|00 08 55.8|+06 35 11|   8.46767e-10|         0.00000e+00|bzb        |
|00 09 09.3|+50 31 12|   1.28421e-09|         3.10534e-10|           |
|00 11 08.7|+00 50 28|   5.56968e-10|         2.18438e-10|bzq        |
|00 13 11.6|-39 53 00|   5.30692e-10|         2.58306e-10|bzb        |
|00 13 42.9|-50 22 20|   6.18860e-10|         2.36912e-10|bzb        |
|00 16 36.9|+17 06 30|   5.27871e-10|         2.55570e-10|           |
|00 17 29.3|-05 10 54|   1.53894e-09|         2.97061e-10|bzq        |
|00 17 42.9|-00 19 35|   4.66141e-10|         2.29725e-10|           |
|00 18 36.6|+29 45 42|   7.96179e-10|         0.00000e+00|bzb        |
|00 19 19.0|+20 17 40|   6.62044e-10|         2.33695e-10|bzb        |
|00 21 46.6|-25 56 36|   9.34050e-10|         2.40027e-10|bzb        |
|00 22 16.5|-18 50 49|   1.14938e-09|         2.52366e-10|           |
|00 22 31.8|+06 07 33|   1.45906e-09|         2.84647e-10|bzb        |
|00 23 00.9|+44 53 19|   9.65597e-10|         2.52576e-10|bzq        |
|00 23 32.4|+09 30 35|   1.06890e-09|         2.85209e-10|           |
|00 23 59.5|-72 04 22|   4.14311e-09|         4.70472e-10|glc        |
|00 24 41.5|+03 46 33|   9.49812e-10|         2.58983e-10|           |
|00 28 55.3|-70 28 26|   7.29280e-10|         2.90031e-10|           |
|00 29 59.4|-42 21 26|   7.40970e-10|         2.39508e-10|bzq        |
|00 30 27.4|+04 51 40|   9.02170e-09|         6.03616e-10|PSR        |
|00 30 42.6|+07 24 09|   4.63664e-10|         2.23870e-10|           |
|00 32 42.6|-55 19 25|   8.51925e-10|         2.60279e-10|           |
|00 33 33.9|-19 21 54|   2.79313e-09|         3.63730e-10|bzb        |
|00 34 21.8|-05 34 36|   2.92976e-09|         3.81923e-10|PSR        |
|00 35 10.2|+15 16 10|   1.52153e-09|         2.91593e-10|bzb        |
|00 35 57.4|+59 51 08|   3.21729e-09|         4.86913e-10|bzb        |
|00 38 03.8|+12 36 39|   7.27882e-10|         2.52214e-10|           |
|00 38 26.3|-25 04 28|   1.04252e-09|         2.64798e-10|bzq        |
|00 38 39.0|+20 48 10|   9.33361e-10|         0.00000e+00|           |
|00 38 40.6|+63 06 30|   2.62120e-09|         5.61783e-10|           |
|00 39 13.5|+43 31 18|   9.55962e-10|         0.00000e+00|           |
|00 41 56.1|+23 18 18|   8.31899e-10|         2.51166e-10|bzq        |
|00 43 41.8|+34 24 22|   1.71642e-09|         3.26572e-10|           |
|00 45 21.7|+21 27 38|   2.13409e-09|         3.21635e-10|bzb        |
|00 46 51.2|+56 58 19|   2.25553e-09|         4.24498e-10|agu        |
