              F10.7     ap
YYYY MM  +2sig  nom. +2sig nom.
2008  9     75   68    8   8
2008 10     75   68    8   8
2008 11     75   68    8   8
2008 12     75   68    8   8
2009  1     75   68    8   8
2009  2     75   68    8   8
2009  3     75   68    8   8
2009  4     75   68    8   8
2009  5     75   68    8   8
2009  6     76   69    8   8
2009  7     78   70    8   8
2009  8     79   71    8   8
2009  9     81   73    8   8
2009 10     83   74    8   8
2009 11     85   76    8   8
2009 12     87   77    8   8
2010  1     89   79    8   8
2010  2     92   80    8   8
2010  3     94   82    8   8
2010  4     97   84    8   8
2010  5     99   85    8   8
2010  6    102   87    9   9
2010  7    105   89    9   9
2010  8    107   91    9   9
2010  9    110   93    9   9
2010 10    112   94    9   9
2010 11    114   96    9   9
2010 12    117   98    9   9
2011  1    119   99   10  10
2011  2    122  101   10  10
2011  3    124  102   10  10
2011  4    126  104   10  10
2011  5    128  105   10  10
2011  6    131  107   10  10
2011  7    133  108   10  10
2011  8    134  110   10  10
2011  9    136  111   10  10
2011 10    138  112   10  10
2011 11    140  113   11  11
2011 12    141  115   11  11
2012  1    143  115   11  11
2012  2    144  116   11  11
2012  3    146  117   11  11
2012  4    147  118   11  11
2012  5    148  119   11  11
2012  6    149  119   11  11
2012  7    150  120   11  11
2012  8    151  120   11  11
2012  9    151  121   11  11
2012 10    152  121   11  11
2012 11    153  122   11  11
2012 12    153  122   11  11
2013  1    154  122   11  11
2013  2    154  123   12  12
2013  3    154  123   12  12
2013  4    154  123   12  12
2013  5    154  122   12  12
2013  6    154  122   12  12
2013  7    154  122   12  12
2013  8    153  122   11  11
2013  9    153  122   11  11
2013 10    152  121   11  11
2013 11    152  121   11  11
2013 12    151  121   11  11
2014  1    151  120   11  11
2014  2    150  120   11  11
2014  3    149  119   11  11
2014  4    149  119   11  11
2014  5    148  118   11  11
2014  6    146  117   11  11
2014  7    145  117   11  11
2014  8    144  116   11  11
2014  9    143  115   11  11
2014 10    142  114   11  11
2014 11    140  113   11  11
2014 12    139  112   11  11
2015  1    137  112   11  11
2015  2    136  111   11  11
2015  3    135  110   10  10
2015  4    133  109   10  10
2015  5    132  108   10  10
2015  6    131  107   10  10
2015  7    130  107   10  10
2015  8    128  106   10  10
2015  9    127  105   10  10
2015 10    125  104   10  10
2015 11    123  103   10  10
2015 12    122  101   10  10
2016  1    120  100   10  10
2016  2    118   99   10  10
2016  3    117   98   10  10
2016  4    116   97    9   9
2016  5    115   96    9   9
2016  6    113   95    9   9
2016  7    112   94    9   9
2016  8    111   93    9   9
2016  9    109   93    9   9
2016 10    108   92    9   9
2016 11    107   91    9   9
2016 12    105   90    9   9
2017  1    104   90    9   9
2017  2    103   89    9   9
2017  3    101   88    9   9
2017  4    100   87    9   9
2017  5     99   86    9   9
2017  6     98   85    9   9
2017  7     97   84    9   9
2017  8     95   84    9   9
2017  9     94   83    8   8
2017 10     93   82    8   8
2017 11     92   81    8   8
2017 12     91   81    8   8
2018  1     90   80    8   8
2018  2     89   80    8   8
2018  3     88   79    8   8
2018  4     87   79    8   8
2018  5     87   79    8   8
2018  6     86   78    8   8
2018  7     85   77    8   8
2018  8     84   77    8   8
2018  9     83   76    8   8
2018 10     82   76    8   8
2018 11     81   75    8   8
2018 12     81   73    8   8
2019  1     80   72    8   8
2019  2     80   71    8   8
2019  3     80   70    8   8
2019  4     80   69    8   8
2019  5     80   68    8   8
2019  6     80   68    8   8
2019  7     80   69    8   8
2019  8     80   69    8   8
2019  9     80   70    8   8
2019 10     80   70    8   8
2019 11     80   71    8   8
2019 12     80   71    8   8
2020  1     80   72    8   8
2020  2     80   73    8   8
2020  3     81   74    8   8
2020  4     81   75    8   8
2020  5     82   76    8   8
2020  6     83   77    8   8
2020  7     85   78    8   8
2020  8     87   80    8   8
2020  9     89   81    8   8
2020 10     91   82    8   8
2020 11     93   84    8   8
2020 12     96   85    8   8
2021  1     98   87    9   9
2021  2    100   88    9   9
2021  3    103   90    9   9
2021  4    106   92    9   9
2021  5    109   94    9   9
2021  6    112   96    9   9
2021  7    115   98    9   9
2021  8    118   99    9   9
2021  9    121  101   10  10
2021 10    123  103   10  10
2021 11    126  104   10  10
2021 12    128  106   10  10
2022  1    131  107   10  10
2022  2    134  109   10  10
2022  3    136  110   10  10
2022  4    139  112   10  10
2022  5    141  113   11  11
2022  6    144  115   11  11
2022  7    146  116   11  11
2022  8    148  117   11  11
2022  9    150  118   11  11
2022 10    151  119   11  11
2022 11    153  121   11  11
2022 12    155  122   11  11
2023  1    156  122   11  11
2023  2    158  123   11  11
2023  3    160  124   12  12
2023  4    161  125   12  12
2023  5    163  126   12  12
2023  6    164  127   12  12
2023  7    165  127   12  12
2023  8    166  128   12  12
2023  9    167  129   12  12
2023 10    167  129   12  12
2023 11    168  129   12  12
2023 12    168  129   12  12
2024  1    168  129   12  12
2024  2    169  130   12  12
2024  3    169  130   12  12
2024  4    168  130   12  12
2024  5    168  129   12  12
2024  6    168  129   12  12
2024  7    168  129   12  12
2024  8    167  129   12  12
2024  9    167  129   12  12
2024 10    166  128   12  12
2024 11    166  128   12  12
2024 12    165  127   12  12
2025  1    164  127   12  12
2025  2    163  126   12  12
2025  3    162  126   12  12
2025  4    160  125   12  12
2025  5    159  124   12  12
2025  6    158  124   12  12
2025  7    157  123   12  12
2025  8    155  123   11  11
2025  9    154  122   11  11
2025 10    152  121   11  11
2025 11    150  120   11  11
2025 12    148  119   11  11
2026  1    147  119   11  11
2026  2    145  118   11  11
2026  3    144  117   11  11
2026  4    142  116   11  11
2026  5    141  115   11  11
2026  6    139  114   11  11
2026  7    138  113   11  11
2026  8    136  112   11  11
2026  9    134  111   10  10
2026 10    132  110   10  10
2026 11    130  109   10  10
2026 12    128  107   10  10
2027  1    126  106   10  10
2027  2    125  105   10  10
2027  3    123  104   10  10
2027  4    122  103   10  10
2027  5    120  102   10  10
2027  6    119  101   10  10
2027  7    117  100   10  10
2027  8    115   99   10  10
2027  9    113   98   10  10
2027 10    112   97   10  10
2027 11    110   97   10  10
2027 12    108   96    9   9
2028  1    107   95    9   9
2028  2    106   94    9   9
2028  3    104   94    9   9
2028  4    103   93    9   9
2028  5    102   92    9   9
2028  6    101   91    9   9
2028  7     99   90    9   9
2028  8     98   90    9   9
2028  9     96   89    9   9
2028 10     94   88    9   9
2028 11     93   87    9   9
2028 12     92   87    9   9
2029  1     90   86    9   9
2029  2     89   85    9   9
2029  3     88   85    9   9
2029  4     87   84    9   9
2029  5     86   84    9   9
2029  6     86   83    9   9
2029  7     85   82    8   8
2029  8     85   82    8   8
2029  9     85   81    8   8
2029 10     85   81    8   8
2029 11     85   80    8   8
2029 12     85   78    8   8
2030  1     85   77    8   8
2030  2     85   76    8   8
2030  3     85   75    8   8
2030  4     86   74    8   8
2030  5     86   73    8   8
2030  6     86   73    8   8
2030  7     86   74    8   8
2030  8     86   74    8   8
2030  9     86   75    8   8
2030 10     86   75    8   8
2030 11     86   76    8   8
2030 12     86   76    8   8
2031  1     86   77    8   8
2031  2     86   78    8   8
2031  3     86   79    8   8
2031  4     86   80    8   8
2031  5     86   81    8   8
2031  6     86   82    8   8
2031  7     87   83    8   8
2031  8     88   85    8   8
2031  9     89   86    9   9
2031 10     91   87    9   9
2031 11     93   89    9   9
2031 12     95   90    9   9
2032  1     98   92    9   9
2032  2    101   93    9   9
2032  3    104   95    9   9
2032  4    107   97    9   9
2032  5    110   98    9   9
2032  6    114  100   10  10
2032  7    117  102   10  10
2032  8    120  104   10  10
2032  9    123  105   10  10
2032 10    126  107   10  10
2032 11    129  108   10  10
2032 12    132  110   10  10
2033  1    135  111   10  10
2033  2    138  113   11  11
2033  3    141  114   11  11
2033  4    144  116   11  11
2033  5    147  117   11  11
2033  6    149  119   11  11
