    igrf00   
    10  6371.2 2000.0 
   1  0 -29615.      0.0 
   1  1  -1728.   5186. 
   2  0  -2267.      0.0 
   2  1   3072.  -2478. 
   2  2   1672.   -458. 
   3  0   1341.      0.0 
   3  1  -2290.   -227. 
   3  2   1253.    296. 
   3  3    715.   -492. 
   4  0    935.       .0 
   4  1    787.    272.  
   4  2    251.   -232. 
   4  3   -405.    119.  
   4  4    110.   -304. 
   5  0   -217.       .0 
   5  1    351.     44. 
   5  2    222.    172. 
   5  3   -131.   -134. 
   5  4   -169.    -40. 
   5  5    -12.    107. 
   6  0     72.       .0 
   6  1     68.    -17. 
   6  2     74.     64. 
   6  3   -161.     65. 
   6  4     -5.    -61. 
   6  5     17.      1. 
   6  6    -91.     44. 
   7  0     79.       .0 
   7  1    -74.    -65. 
   7  2      0.    -24. 
   7  3     33.      6. 
   7  4      9.     24. 
   7  5      7.     15. 
   7  6      8.    -25. 
   7  7     -2.     -6. 
   8  0     25.       .0 
   8  1      6.     12. 
   8  2     -9.    -22. 
   8  3     -8.      8. 
   8  4    -17.    -21. 
   8  5      9.     15. 
   8  6      7.      9. 
   8  7     -8.    -16. 
   8  8     -7.     -3. 
   9  0      5.       .0 
   9  1      9.    -20. 
   9  2      3.     13. 
   9  3     -8.     12. 
   9  4      6.     -6. 
   9  5     -9.     -8. 
   9  6     -2.      9. 
   9  7      9.      4. 
   9  8     -4.     -8. 
   9  9     -8.      5. 
  10  0     -2.       .0 
  10  1     -6.      1. 
  10  2      2.      0. 
  10  3     -3.      4. 
  10  4      0.      5. 
  10  5      4.     -6. 
  10  6      1.     -1. 
  10  7      2.     -3. 
  10  8      4.      0. 
  10  9      0.     -2. 
  10 10     -1.     -8. 
 
