    igrf95 
 10  6371.2 1995.0
   1  0 -29682.      0.0
   1  1  -1789.   5318. 
   2  0  -2197.      0.0
   2  1   3074.  -2356.
   2  2   1685.   -425.
   3  0   1329.      0.0
   3  1  -2268.   -263.
   3  2   1249.    302.
   3  3    769.   -406.
   4  0    941.       .0
   4  1    782.    262. 
   4  2    291.   -232.
   4  3   -421.     98. 
   4  4    116.   -301.
   5  0   -210.       .0
   5  1    352.     44.
   5  2    237.    157.
   5  3   -122.   -152.
   5  4   -167.    -64.
   5  5    -26.     99.
   6  0     66.       .0
   6  1     64.    -16.
   6  2     65.     77.
   6  3   -172.     67.
   6  4      2.    -57.
   6  5     17.      4.
   6  6    -94.     28.
   7  0     78.      -.0
   7  1    -67.    -77.
   7  2      1.    -25.
   7  3     29.      3.
   7  4      4.     22.
   7  5      8.     16.
   7  6     10.    -23.
   7  7     -2.     -3.
   8  0     24.       .0
   8  1      4.     12.
   8  2     -1.    -20.
   8  3     -9.      7.
   8  4    -14.    -21.
   8  5      4.     12.
   8  6      5.     10.
   8  7      0.    -17.
   8  8     -7.    -10.
   9  0      4.       .0
   9  1      9.    -19.
   9  2      1.     15.
   9  3    -12.     11.
   9  4      9.     -7.
   9  5     -4.     -7.
   9  6     -2.      9.
   9  7      7.      7.
   9  8      0.     -8.
   9  9     -6.      1.
  10  0     -3.       .0
  10  1     -4.      2.
  10  2      2.      1.
  10  3     -5.      3.
  10  4     -2.      6.
  10  5      4.     -4.
  10  6      3.      0.
  10  7      1.     -2.
  10  8      3.      3.
  10  9      3.     -1.
  10 10      0.     -6.
